tweet;label
        eh anjing;1
 gue yang gak minus aja sampe nyipit mata nyari kaos anjinglebih parah hotdog sih  gila capek gue;1
 anjing orang sunda tinggal di bekasi aja udah aneh;2
anjing ian affectionately platonically ;1
 anjing gua bokem darimananya kece badai gini guah jiakh makasih makin cinta aku sama pacar mudaku;0
 gak tau tuh akun tadi saya sempet rt tweet nya dia gak tau kenapa kok tiba saya di blok akun aneh fotonya belum tentu dia  anjing tanah tuh akun;1
lo orang terjahat anjing;2
mata gue kaya orng need sleep bgt anjing tp gue nya gbs tidur mau berdiri juga gakuat;2
sejak bila pulak kakak jadi term utk housemaid je ni org panggil housemaid kakak bcs it has a respectful friendly tone within the family pukimak lah korang niiiii menyusahkan benda yg simple lah anjing;2
 bisabisanya anjing;2
gw cape bgt anjing sama dunia;2
 anjing panggang kaugigi ompong lo msh ada yakl msh ada nih gw beri bogem lg njing ;2
  emg itu anjing ya kok w kira selama in beruang;1
    suara anjing bukan desah;1
anjing;1
anjing ternyata masih di kantor;1
gw bilang lo diem deh anjing lo tau kata arti normal ga sih;2
before after nya lucu anjing ;0
tapi fotonya foto hc anjing itu kan fc cowok guwa;1
 yang bilang kejahatan ada saat ada kesempatan tai rumahku pernah dibobol orang dia bawa meja buat nyongkel jendela seniat itu padahal rumahku selalu dikunci rapat banyak orang pinggir jalan ya emang niat ya anjing liat reply bikin emosi;2
 meja anjing  parah bgt gua hancurin mejanya;2
anjing bangsattt bangettapa mundur aja kali yacape juga engga di hargai gini;2
yeuu ttp aja pake pembelaan si anjing salah mah salah aja kalii;2
anjing ni laptop error mulu kalo gua kayaan dikit mah udah gua jadiin talenan aja ni laptop;2
get yourself a miyel tp miyel versi lain jgn pacarku anjing;2
 jahat anjing jahat dh lh mls kontol;2
kayak ada anjinganjingnya ;2
anjing ;1
siapa tahu ada shelter yg bisa nampung atau ada yg mau adopsi anjing;0
kesel anjing bebek gajelas lu mati aja jadi bebek goreng kesukaan mak gue;2
probably the first and the last time ill ever step foot in geylang bazaar this yr bcus the crowd and heat is jst too overwhelming fr me aku jalan sikit dah berpeluh anjing kaki dah sakit ;1
 asli kalo ga kaos anjing ya kaos kucing fakk;2
 anjing dah;2
cw  cheating  harshwords udah ngasih trauma diselingkuhin kok sekarang malah nanya udh punya pacar belum  girl u sangat kocak anjing dikira trauma diselingkuhin sembuh dalam dua bulan wkwkwk ya tuhan jujur gue sayang bgt sama lo but i deserve better bye rl;2
  anjing lu benci banget liat mukanya;2
 anjing mmf yah itu baru sadr bacaannya kanjut bukan lanjut ;2
anjing pen gua maki tau ga;2
anjing lah baru balik jam segini;2
serem banget anjing mana ngomongnya sambil senyum;2
 tolol emg gw kesel bgt anjing;2
pertemanan di kuliah emang anjing;2
gapapaa yaudah gapapa its okay tapi sebenernya gua udh gaada energi lagi untuk ladenin hal yang bikin gua sakit kaya yaudah lah cok anjing;1
 gimana mainnya tumben td dion versi bener tau biasanya disuruh gambar anjing malah jd semut sumpah;1
emosi bgt anjing;2
 h word  horny atau bisa jugaa kata2 kasar kayak anjing lo;2
gajelas bgt to the point aja kenapa si anjing;2
